"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"TMEM11"	-1.09775258931908	5.26343548979782	90.1293563102648	2.23086954951712e-21	1.71243791521109e-19
"KIAA0196"	1.66487449985532	3.27631688778439	90.0982346378429	2.26623830459373e-21	1.72871490672291e-19
"RP11-52I18.1"	-0.896865494508413	6.10857719753876	90.0197394415564	2.35795693502388e-21	1.78750710509108e-19
"ARPC3"	-0.84668876622863	6.60835950272267	89.9868293288447	2.39750729003122e-21	1.80627015276735e-19
"RP1-101K10.4"	1.02804694816089	5.99204250527886	89.9293736226979	2.46815284264141e-21	1.84808622358518e-19
"TRAPPC3"	1.72415288484197	4.32071279498904	89.8514859127943	2.56725692046838e-21	1.9105713850193e-19
"AC004383.3"	1.08415168105977	6.00235554175654	89.4490564207637	3.14637087709976e-21	2.32736100333349e-19
"JAKMIP2"	-1.05902278877065	4.99670771039494	89.1358934394293	3.68602084927438e-21	2.71011352201167e-19
"RP11-276H7.3"	-1.38281064441286	2.87903541080227	89.0925536266273	3.76766489266241e-21	2.75355389311047e-19
"RN7SL732P"	-0.832072073942358	7.62282452920949	88.7584487998741	4.46088129116837e-21	3.24077715230416e-19
"RP4-576H24.4"	1.91811428179704	1.63128554946912	88.6866879108224	4.62567617529518e-21	3.34061406624128e-19
"MIR1343"	0.838205454794618	7.86849869548108	88.6239546758531	4.77472039667251e-21	3.42796837890517e-19
"TULP4"	1.76975057351367	3.17772978325634	88.5559310577584	4.94176687592031e-21	3.52714998366125e-19
"GOLPH3L"	-1.0032244979772	6.15369153307185	88.4683778875454	5.16540499243472e-21	3.66533534492243e-19
"RP11-434B12.1"	-0.805250380460125	5.8099738223592	88.4455764969858	5.22529015296725e-21	3.68639689693441e-19
"GLRA4"	1.10875272807468	5.07279726376523	88.4273569521256	5.27364039868697e-21	3.69912534861922e-19
"RP11-7F17.3"	1.34042323464568	4.17981716960689	88.3627817600786	5.44863942236709e-21	3.80003680857087e-19
"PLK3"	-0.81672406103578	7.02854344567506	88.29414933444	5.64100540704527e-21	3.91184494278338e-19
"BET1L"	-1.53449951032543	5.29283364003721	88.2499207643993	5.76855573625613e-21	3.97769620118679e-19
"PPIL3"	1.06396937384428	5.07621498868118	88.238692726593	5.80139273287988e-21	3.97786507330331e-19
"IGHVII-40-1"	-1.20565710182772	5.90171715036546	88.1136827934827	6.17986613601263e-21	4.21370202178962e-19
"AL118508.1"	0.919586052062857	7.54864571047158	87.6719669649733	7.72616920925261e-21	5.23877195549601e-19
"RP11-391J2.3"	-1.11593077723867	5.75109738428298	87.6012183249855	8.0075304624452e-21	5.39955299967644e-19
"RNU6-319P"	-0.905572440373881	5.47907108083461	87.5480596958525	8.22566101671008e-21	5.5161644345575e-19
"IGLVI-68"	0.837167009003051	5.6589619876503	87.2821369932311	9.40938960445614e-21	6.27549727444739e-19
"TSPAN14"	1.12927195235022	3.91287170031283	86.9010379937859	1.14089476341136e-20	7.54842099372455e-19
"RP11-128A6.3"	0.858941936774673	6.43929153371541	86.8953707851678	1.14416868811064e-20	7.54842099372455e-19
"LA16c-380H5.2"	1.36993070701653	5.03497155499557	86.7500695880422	1.23139473046412e-20	8.08020036844873e-19
"KCNB1"	1.86445624550116	1.20780604976738	86.3805099475054	1.48440669576873e-20	9.68833354110016e-19
"RP3-448I9.1"	1.31022958671504	3.74970706935773	86.3254639054148	1.52630521294251e-20	9.90880591700175e-19
"CARS"	-1.05381211434602	5.83458914740402	86.2023240311044	1.62436656733725e-20	1.04896264308736e-18
"RP11-1084A12.2"	2.32548619825748	2.23493441984038	86.1763990033756	1.64580156907781e-20	1.05721095529446e-18
"RPS2P41"	-1.0386052963306	5.31251658764334	85.9299937720369	1.86419694840233e-20	1.19123161022254e-18
"FAM25D"	-1.18265309282128	4.99109270380574	85.7005957830356	2.09349824561685e-20	1.33078885873717e-18
"ZNF570"	0.985670411181699	4.74747939798101	85.6568677979056	2.14030857067532e-20	1.35349565311359e-18
"CTC-360G5.8"	0.985972928759718	4.57698785626091	85.2605959341721	2.61523278180394e-20	1.64530495370707e-18
"AC003985.1"	-1.0524773981162	5.59838770294478	84.9779102925469	3.01717075616708e-20	1.8884394399497e-18
"POU5F1P2"	0.866745263122973	6.47094511178755	84.7070361457785	3.46016882017478e-20	2.15466124746088e-18
"PTPLAD2"	0.978610532436202	5.25953290885515	84.3686538129642	4.10606498784674e-20	2.54388442521165e-18
"KRTAP4-12"	-0.727792262981744	8.40547275870959	83.9383771537662	5.10439812473177e-20	3.14642318749249e-18
"RP11-350J20.4"	-1.02181593575267	4.27170026702687	83.6393356706904	5.93797121045963e-20	3.64185621224421e-18
"AC131056.3"	-1.34677974632189	5.72308585788625	83.4898922596426	6.40425869472993e-20	3.90819886845894e-18
"RP11-776A13.3"	1.04766385832808	5.03805504617413	83.4624417605263	6.49380820232383e-20	3.94313080146081e-18
"RPL18AP3"	-1.22296455851633	6.25993507921661	83.2523352480169	7.22201573698761e-20	4.36359911237296e-18
"RP11-830F9.7"	-0.994791858622573	5.69805605803988	83.0182776426589	8.12981855134436e-20	4.88790322261862e-18
"ZBTB1"	-0.923113323523427	5.52060905423887	82.9314724502453	8.49478438172613e-20	5.08229624406703e-18
"COL27A1"	-0.897787031547181	8.77028035089223	82.749027353382	9.31616439333134e-20	5.54652616685898e-18
"AC104667.3"	-1.14958560099925	4.01783107010929	82.6864692575556	9.61572282810196e-20	5.69708238431963e-18
"TMEM255B"	-0.926502786164678	5.19718610515561	82.336400488009	1.14788558540835e-19	6.7680886811154e-18
"RNU1-132P"	1.10350558153985	4.03708124458848	82.0596183135483	1.3204303064144e-19	7.74800571624413e-18
"KCTD12"	1.25653434678678	3.41921575211244	82.0268710590116	1.34249024488964e-19	7.83975762625747e-18
"AC068706.1"	-1.35395685728849	3.79423559733516	81.8394952038881	1.47599351055171e-19	8.57833371251601e-18
"RP11-72M10.7"	-1.0559401946069	5.29580458061839	81.5996721841611	1.66641781324102e-19	9.61673562415475e-18
"RP1-152L7.3"	1.32946575202171	2.99311105458173	81.5903074965359	1.67433270722614e-19	9.61673562415475e-18
"RP11-187C18.2"	1.72625973856458	2.15176512862524	81.5856305966437	1.67829962142152e-19	9.61673562415475e-18
"C6ORF50"	0.723765909162884	7.36824255283041	81.4584950681048	1.78981206787846e-19	1.02077833123629e-17
"AC009313.2"	-0.879731607329215	7.2217618381756	81.401173160496	1.84248534664878e-19	1.04593179794644e-17
"CTC-297N7.9"	1.39569760310337	2.63717819155129	81.3605745469754	1.88072689897937e-19	1.06269776861311e-17
"AIPL1"	-1.44941536250436	5.28915449194745	81.3103715001707	1.92911496575147e-19	1.08501604410123e-17
"RP1-56K13.5"	0.770471411278432	6.25409050899731	81.1433778723419	2.09921236673678e-19	1.17527004293681e-17
"KCTD10"	1.2271834302622	3.29940428494402	81.1152431850839	2.12931198546422e-19	1.18667820925072e-17
"UPF3AP3"	-1.38404638727405	4.22994269010843	80.7767204964695	2.52717623950746e-19	1.40200845469039e-17
"CTD-3093M3.1"	-0.81438012776919	6.14785690559599	80.707804607095	2.61686570996743e-19	1.44519665113812e-17
"RP11-73C9.1"	0.894467651254124	6.60721479260313	80.5092487749492	2.89347444989901e-19	1.59075926400979e-17
"RNU6-1131P"	-1.18932230579326	4.10452605478684	80.1270936003319	3.51085204303192e-19	1.92152238498675e-17
"RP13-644M16.3"	1.95620090858706	2.9292704297286	80.0332026677048	3.68170754037323e-19	2.00603752367211e-17
"LINC00938"	-0.942157475710255	7.62824846357846	79.8717094475818	3.99526287849618e-19	2.16720815253537e-17
"MED14"	0.752353741781063	7.5233800532788	79.831464249787	4.07747542506322e-19	2.20201714880073e-17
"RP5-1096D14.3"	1.28488521768513	2.47257113099449	79.7168952263851	4.32089974759033e-19	2.32319741935419e-17
